q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.3018682992,0.5325957146,1.483529864,55.40844097,63.56058576,170,1,1,safe,
-0.3018682992,0.6198621772,0,55.40844097,53.56058576,0,1,1,safe,
-0.3018682992,0.6198621772,0.0872664626,55.40844097,53.56058576,10,1,1,safe,
-0.3018682992,0.6198621772,0.1745329252,55.40844097,53.56058576,20,1,1,safe,
-0.3018682992,0.6198621772,0.2617993878,55.40844097,53.56058576,30,1,1,safe,
-0.3018682992,0.6198621772,0.3490658504,55.40844097,53.56058576,40,1,1,safe,
-0.3018682992,0.6198621772,0.436332313,55.40844097,53.56058576,50,1,1,safe,
-0.3018682992,0.6198621772,0.5235987756,55.40844097,53.56058576,60,1,1,safe,
-0.3018682992,0.6198621772,0.6108652382,55.40844097,53.56058576,70,1,1,safe,
-0.3018682992,0.6198621772,0.6981317008,55.40844097,53.56058576,80,1,1,safe,
-0.3018682992,0.6198621772,0.7853981634,55.40844097,53.56058576,90,1,1,safe,
-0.3018682992,0.6198621772,0.872664626,55.40844097,53.56058576,100,1,1,safe,
-0.3018682992,0.6198621772,0.9599310886,55.40844097,53.56058576,110,1,1,safe,
-0.3018682992,0.6198621772,1.047197551,55.40844097,53.56058576,120,1,1,safe,
-0.3018682992,0.6198621772,1.134464014,55.40844097,53.56058576,130,1,1,safe,
-0.3018682992,0.6198621772,1.221730476,55.40844097,53.56058576,140,1,1,safe,
-0.3018682992,0.6198621772,1.308996939,55.40844097,53.56058576,150,1,1,safe,
-0.3018682992,0.6198621772,1.396263402,55.40844097,53.56058576,160,1,1,safe,
-0.3018682992,0.6198621772,1.483529864,55.40844097,53.56058576,170,1,1,safe,
-0.3018682992,0.7071286398,0,55.40844097,43.56058576,0,1,1,safe,
-0.3018682992,0.7071286398,0.0872664626,55.40844097,43.56058576,10,1,1,safe,
-0.3018682992,0.7071286398,0.1745329252,55.40844097,43.56058576,20,1,1,safe,
-0.3018682992,0.7071286398,0.2617993878,55.40844097,43.56058576,30,1,1,safe,
-0.3018682992,0.7071286398,0.3490658504,55.40844097,43.56058576,40,1,1,safe,
-0.3018682992,0.7071286398,0.436332313,55.40844097,43.56058576,50,1,1,safe,
-0.3018682992,0.7071286398,0.5235987756,55.40844097,43.56058576,60,1,1,safe,
-0.3018682992,0.7071286398,0.6108652382,55.40844097,43.56058576,70,1,1,safe,
-0.3018682992,0.7071286398,0.6981317008,55.40844097,43.56058576,80,1,1,safe,
-0.3018682992,0.7071286398,0.7853981634,55.40844097,43.56058576,90,1,1,safe,
-0.3018682992,0.7071286398,0.872664626,55.40844097,43.56058576,100,1,1,safe,
-0.3018682992,0.7071286398,0.9599310886,55.40844097,43.56058576,110,1,1,safe,
-0.3018682992,0.7071286398,1.047197551,55.40844097,43.56058576,120,1,1,safe,
-0.3018682992,0.7071286398,1.134464014,55.40844097,43.56058576,130,1,1,safe,
-0.3018682992,0.7071286398,1.221730476,55.40844097,43.56058576,140,1,1,safe,
-0.3018682992,0.7071286398,1.308996939,55.40844097,43.56058576,150,1,1,safe,
-0.3018682992,0.7071286398,1.396263402,55.40844097,43.56058576,160,1,1,safe,
-0.3018682992,0.7071286398,1.483529864,55.40844097,43.56058576,170,1,1,safe,
-0.3018682992,0.7943951024,0,55.40844097,33.56058576,0,1,1,safe,
-0.3018682992,0.7943951024,0.0872664626,55.40844097,33.56058576,10,1,1,safe,
-0.3018682992,0.7943951024,0.1745329252,55.40844097,33.56058576,20,1,1,safe,
-0.3018682992,0.7943951024,0.2617993878,55.40844097,33.56058576,30,1,1,safe,
-0.3018682992,0.7943951024,0.3490658504,55.40844097,33.56058576,40,1,1,safe,
-0.3018682992,0.7943951024,0.436332313,55.40844097,33.56058576,50,1,1,safe,
-0.3018682992,0.7943951024,0.5235987756,55.40844097,33.56058576,60,1,1,safe,
-0.3018682992,0.7943951024,0.6108652382,55.40844097,33.56058576,70,1,1,safe,
-0.3018682992,0.7943951024,0.6981317008,55.40844097,33.56058576,80,1,1,safe,
-0.3018682992,0.7943951024,0.7853981634,55.40844097,33.56058576,90,1,1,safe,
-0.3018682992,0.7943951024,0.872664626,55.40844097,33.56058576,100,1,1,safe,
-0.3018682992,0.7943951024,0.9599310886,55.40844097,33.56058576,110,1,1,safe,
-0.3018682992,0.7943951024,1.047197551,55.40844097,33.56058576,120,1,1,safe,
-0.3018682992,0.7943951024,1.134464014,55.40844097,33.56058576,130,1,1,safe,
-0.3018682992,0.7943951024,1.221730476,55.40844097,33.56058576,140,1,1,safe,
-0.3018682992,0.7943951024,1.308996939,55.40844097,33.56058576,150,1,1,safe,
-0.3018682992,0.7943951024,1.396263402,55.40844097,33.56058576,160,1,1,safe,
-0.3018682992,0.7943951024,1.483529864,55.40844097,33.56058576,170,1,1,safe,
-0.3018682992,0.881661565,0,55.40844097,23.56058576,0,1,1,safe,
-0.3018682992,0.881661565,0.0872664626,55.40844097,23.56058576,10,1,1,safe,
-0.3018682992,0.881661565,0.1745329252,55.40844097,23.56058576,20,1,1,safe,
-0.3018682992,0.881661565,0.2617993878,55.40844097,23.56058576,30,1,1,safe,
-0.3018682992,0.881661565,0.3490658504,55.40844097,23.56058576,40,1,1,safe,
-0.3018682992,0.881661565,0.436332313,55.40844097,23.56058576,50,1,1,safe,
-0.3018682992,0.881661565,0.5235987756,55.40844097,23.56058576,60,1,1,safe,
